rank,avg_EventLatency,avg_ProcessingLatency,var_EventLatency,var_ProcessingLatency,TotalMessages,iteration,kafka,spark,killed
69,1.8580741618896255,1.2007708948062943,0.16430799081197042,0.11284086234513081,20000000,1,3,3,spark
70,1.8317910172218463,1.1990651602492262,0.1741213680616738,0.11786119004438717,20000000,1,3,3,spark
71,1.7438941572920204,1.2554884609738812,0.10636395242043606,0.12129342574644457,20000000,1,3,3,spark
72,1.2959411585912473,0.9047206385135651,0.05985591301891383,0.044936033311387666,20000000,1,3,3,spark
1,5.549360222694775,3.035892835598439,0.9440761801218723,2.2811265992656797,19978960,1,3,3,kafka
2,3.447248621060619,1.8999042745816244,0.5665485405329396,0.4884160433409777,19978960,1,3,3,kafka
3,1.999888531077848,1.2609316326865996,0.19787335741236065,0.10968343382723546,19978960,1,3,3,kafka
4,1.7649960961816833,1.2167390801534057,0.13434197571185202,0.10455649157466358,19978960,1,3,3,kafka
5,1.6187254806913165,1.1391458271053732,0.12256258041471728,0.10873244366473621,19978960,1,3,3,kafka
6,1.726621509620226,1.1705272689552677,0.12505661808634563,0.0919400150005825,19978960,1,3,3,kafka
7,1.8008547002474466,1.1734574873844783,0.157869367718119,0.09803085807346065,19978960,1,3,3,kafka
8,1.7592279205412245,1.1446274538146282,0.16026648538033228,0.10055552089998689,19978960,1,3,3,kafka
9,1.7539117192327476,1.1073596165489188,0.18194487356823544,0.08908238014519193,19978960,1,3,3,kafka
10,1.7791967620035622,1.1428902989963672,0.1345917249467334,0.11241036321608637,19978960,1,3,3,kafka
11,1.7694383508335647,1.1570377934583174,0.14669659493556592,0.09599203586678795,19978960,1,3,3,kafka
12,1.727563412186355,1.1694260450302523,0.16792414265355124,0.11323833803007873,19978960,1,3,3,kafka
13,1.6645525638739682,1.1198837294936836,0.1322688565758041,0.09514758912805342,19978960,1,3,3,kafka
14,1.7589715820958032,1.2044745556690821,0.09086863949673166,0.11670070176162672,19978960,1,3,3,kafka
15,1.7085002481752587,1.1392014458013136,0.1464802107784734,0.10071225531681487,19978960,1,3,3,kafka
16,1.6717865479472835,1.1067538634111875,0.16801623421152323,0.10615540115697092,19978960,1,3,3,kafka
17,1.7812393002086029,1.1467947412320498,0.1819077154895501,0.0919388098737195,19978960,1,3,3,kafka
18,1.6516936858605968,1.1924680580048599,0.09610743101955632,0.11458160945125535,19978960,1,3,3,kafka
19,131.47853623155032,15.739803114372084,3544.7648665210295,1871.2133950102732,19978960,1,3,3,kafka
20,156.12322638629198,9.344582584087044,1.177466917459721,4.86987232770717,19978960,1,3,3,kafka
21,152.949062597041,16.36471914326679,0.7711785255964436,3.327882347505922,19978960,1,3,3,kafka
22,149.87812960137282,22.6558390204395,0.9020540215357072,3.3769463616391397,19978960,1,3,3,kafka
23,146.53632948022684,29.690960733101218,1.3000312046035085,4.847324062068282,19978960,1,3,3,kafka
24,142.6899481057264,36.16166621343326,1.296847414219573,3.1375045894309457,19978960,1,3,3,kafka
25,139.62584664139385,42.3985090836031,1.124686518343455,3.2170587946730156,19978960,1,3,3,kafka
26,135.58987462916733,48.7380629225501,1.8551786958727396,4.066851353436861,19978960,1,3,3,kafka
27,131.55553474994096,55.04196999096777,1.9749317061130958,3.4965906942383658,19978960,1,3,3,kafka
28,127.96047048936438,60.709052941253,3.7340508357112596,5.425698426579142,19978960,1,3,3,kafka
29,123.8341580724173,67.0066441335324,7.707350608355859,9.865013944418044,19978960,1,3,3,kafka
30,119.70177321512625,73.23400784668233,11.001732618137561,12.327292233569269,19978960,1,3,3,kafka
31,116.01348602784466,78.82275194226416,15.930247483470607,17.560302081004668,19978960,1,3,3,kafka
32,112.04581424689762,85.18185475567725,22.87544889550328,25.48862273791697,19978960,1,3,3,kafka
33,107.88340589204901,91.3060835874551,28.760676756220597,29.302635374211402,19978960,1,3,3,kafka
34,101.77537490745398,94.70856239422875,189.7225487464038,173.36964762329316,19978960,1,3,3,kafka
35,97.65948052499918,13.457152404115172,534.712940759921,917.2394963641847,19978960,1,3,3,kafka
36,98.7555438096486,7.240331635527313,1.9330976012109102,1.578509699724423,19978960,1,3,3,kafka
37,93.55233461141034,11.671749713070085,2.712259564167892,1.7640650706086465,19978960,1,3,3,kafka
38,87.8894952768496,16.25044232462957,3.4290624208748848,1.635735275245836,19978960,1,3,3,kafka
39,81.93470420348645,20.282136665201,2.2544164159619546,1.3938383002497177,19978960,1,3,3,kafka
40,76.1413801047712,24.670028223168174,3.858700424149546,2.4818813009760747,19978960,1,3,3,kafka
41,70.17206510822135,28.876616719763625,3.539734104031809,2.3167185408421016,19978960,1,3,3,kafka
42,64.57364895136104,32.85080203598941,4.766563460281209,3.51875309856171,19978960,1,3,3,kafka
43,58.62670566436752,37.03563078338116,5.983297521476263,4.11495998108195,19978960,1,3,3,kafka
44,52.66829935593969,40.956935137838094,5.82291370316018,4.5256332067812375,19978960,1,3,3,kafka
45,48.04477592791915,27.601365034400192,3.108052046316268,432.49974358842786,19978960,1,3,3,kafka
46,44.39731210896329,4.887257859353841,2.27293654038292,1.7074982509553642,19978960,1,3,3,kafka
47,39.215793179884436,8.970283957925878,3.27349107645391,2.2869935060846873,19978960,1,3,3,kafka
48,33.324423209851645,13.31015682100425,5.733760309536692,4.209116254106739,19978960,1,3,3,kafka
49,27.514948949209515,17.686169964071592,5.572027296349399,5.025325485433853,19978960,1,3,3,kafka
50,23.549632059438814,10.133652843487647,2.329411142011018,87.24800265518462,19978960,1,3,3,kafka
51,19.37017083643983,5.908389476571645,2.3677600061923116,1.7367807725841633,19978960,1,3,3,kafka
52,14.2751532308353,10.185619840755018,1.9385192080882987,2.18728407984669,19978960,1,3,3,kafka
53,9.86579773572481,3.4113814429194673,2.871281516142561,2.4456499180590443,19978960,1,3,3,kafka
54,5.499621735679087,1.9999620763396109,1.2599406876370816,0.9790499347788904,19978960,1,3,3,kafka
55,2.621394058953877,1.43112982066169,0.22410823811262667,0.3264124778762045,19978960,1,3,3,kafka
